mjd,ra,dec,mag,band,status,permid,provid,obstime_text
60876.35087295139,319.2996327,-15.6191098,22.038,Lg,P,138P,,2025-07-20T08:25:15.423Z
60876.37438877315,319.2949646,-15.6189818,21.533,Lr,P,138P,,2025-07-20T08:59:07.190Z
60877.138995520836,319.1476879,-15.6167121,21.610,Li,P,138P,,2025-07-21T03:20:09.213Z
60877.10548575231,319.1544607,-15.6167715,21.601,Lr,P,138P,,2025-07-21T02:31:53.969Z
60878.349025428244,318.9043886,-15.6139042,21.546,Lr,P,138P,,2025-07-22T08:22:35.797Z
60878.380236689816,318.8978883,-15.613795,22.269,Lg,P,138P,,2025-07-22T09:07:32.450Z
60885.37630863426,317.3696754,-15.6134585,20.965,Lz,P,138P,,2025-07-29T09:01:53.066Z
60885.35277741898,317.3752659,-15.6134591,21.141,Li,P,138P,,2025-07-29T08:27:59.969Z
60831.30773706018,322.0453328,-16.8130086,23.147,Li,P,138P,P/1991 V2,2025-06-05T07:23:08.482Z
60831.33015231482,322.0467842,-16.8119376,23.536,Lg,P,138P,P/1991 V2,2025-06-05T07:55:25.160Z
60831.310869085646,322.0455079,-16.8128467,22.894,Li,P,138P,P/1991 V2,2025-06-05T07:27:39.089Z
60831.314531909724,322.0457974,-16.8126726,23.237,Li,P,138P,P/1991 V2,2025-06-05T07:32:55.557Z
60831.346631203705,322.0476141,-16.8110599,23.287,Lr,P,138P,P/1991 V2,2025-06-05T08:19:08.936Z
60831.34770532407,322.047729,-16.8109956,23.305,Lr,P,138P,P/1991 V2,2025-06-05T08:20:41.740Z
60831.30010127315,322.0448687,-16.8134744,23.137,Li,P,138P,P/1991 V2,2025-06-05T07:12:08.750Z
60831.30366549768,322.0451055,-16.8132455,23.074,Li,P,138P,P/1991 V2,2025-06-05T07:17:16.699Z
60835.34048020833,322.2745669,-16.613856,22.798,Li,P,138P,P/1991 V2,2025-06-09T08:10:17.490Z
60835.33574870371,322.2744234,-16.614077,22.790,Li,P,138P,P/1991 V2,2025-06-09T08:03:28.688Z
60835.35334260417,322.275193,-16.6133053,22.554,Lz,P,138P,P/1991 V2,2025-06-09T08:28:48.801Z
60835.339416689814,322.2746047,-16.6139224,22.596,Li,P,138P,P/1991 V2,2025-06-09T08:08:45.602Z
60836.29922488426,322.3170883,-16.5689685,22.983,Lz,P,138P,P/1991 V2,2025-06-10T07:10:53.030Z
60836.32686515046,322.3181306,-16.5676931,22.794,Li,P,138P,P/1991 V2,2025-06-10T07:50:41.149Z
60836.318554178244,322.3177886,-16.5680931,22.895,Li,P,138P,P/1991 V2,2025-06-10T07:38:43.081Z
60836.30278564815,322.3172205,-16.5688062,22.721,Lz,P,138P,P/1991 V2,2025-06-10T07:16:00.680Z
60836.310995520835,322.3176001,-16.5683473,22.576,Lz,P,138P,P/1991 V2,2025-06-10T07:27:50.013Z
60847.24646015046,322.44312,-16.1284076,22.683,Li,P,138P,P/1991 V2,2025-06-21T05:54:54.157Z
60847.270506678244,322.4425001,-16.1276339,22.699,Lr,P,138P,P/1991 V2,2025-06-21T06:29:31.777Z
60858.21834348379,321.8603509,-15.827933,22.343,Lr,P,138P,P/1991 V2,2025-07-02T05:14:24.877Z
60858.22681357639,321.859532,-15.8277239,21.865,Li,P,138P,P/1991 V2,2025-07-02T05:26:36.693Z
60898.27559884259,314.1695172,-15.6376919,20.202,Ly,P,138P,P/1991 V2,2025-08-11T06:36:51.740Z
60898.27515340278,314.1696317,-15.6376808,20.380,Ly,P,138P,P/1991 V2,2025-08-11T06:36:13.254Z
60898.29385408565,314.1646978,-15.6376756,20.436,Ly,P,138P,P/1991 V2,2025-08-11T07:03:08.993Z
60898.29431150463,314.1645149,-15.6377506,20.433,Ly,P,138P,P/1991 V2,2025-08-11T07:03:48.514Z
60898.36097681713,314.1471235,-15.6376583,20.205,Ly,P,138P,P/1991 V2,2025-08-11T08:39:48.397Z
60898.322016412036,314.1572803,-15.6376726,20.554,Lz,P,138P,P/1991 V2,2025-08-11T07:43:42.218Z
60898.3229462963,314.157027,-15.6376539,20.424,Lz,P,138P,P/1991 V2,2025-08-11T07:45:02.560Z
60898.31115201389,314.1601385,-15.6376732,20.521,Li,P,138P,P/1991 V2,2025-08-11T07:28:03.534Z
60898.3102283912,314.1603746,-15.6376792,20.474,Li,P,138P,P/1991 V2,2025-08-11T07:26:43.733Z
60904.29154373843,312.6312343,-15.636194,21.088,Lr,P,138P,P/1991 V2,2025-08-17T06:59:49.379Z
60904.27327800926,312.6359698,-15.6362515,20.859,Li,P,138P,P/1991 V2,2025-08-17T06:33:31.220Z
60925.21067579861,308.125719,-15.4203589,21.499,Lr,P,138P,P/1991 V2,2025-09-07T05:03:22.389Z
60925.226146678244,308.123102,-15.4199694,22.093,Lg,P,138P,P/1991 V2,2025-09-07T05:25:39.073Z
60940.10371243056,306.5572345,-14.9853224,21.027,Li,P,138P,P/1991 V2,2025-09-22T02:29:20.754Z
60940.00747818287,306.5625643,-14.9889742,21.215,Li,P,138P,P/1991 V2,2025-09-22T00:10:46.115Z
60940.131198020834,306.5557274,-14.9842932,21.059,Lz,P,138P,P/1991 V2,2025-09-22T03:08:55.509Z
