mjd,ra,dec,mag,band,status,permid,provid,obstime_text
60797.06782059028,186.2994039,7.4370638,21.959,Lr,p,616827,2001 HL69,2025-05-02T01:37:39.699Z
60799.09037564815,185.9824006,7.4444011,21.915,Lr,p,616827,2001 HL69,2025-05-04T02:10:08.456Z
60797.169822905096,186.2819563,7.437791,23.077,Lu,p,616827,2001 HL69,2025-05-02T04:04:32.699Z
60799.13474085648,185.9753894,7.4443801,21.927,Lr,p,616827,2001 HL69,2025-05-04T03:14:01.610Z
60799.12290322917,185.97725,7.4443967,21.940,Lr,p,616827,2001 HL69,2025-05-04T02:56:58.839Z
60793.18751782407,186.977026,7.3806077,21.904,Lr,p,616827,2001 HL69,2025-04-28T04:30:01.540Z
60798.07020498843,186.1390701,7.4426029,21.915,Lr,p,616827,2001 HL69,2025-05-03T01:41:05.711Z
60799.09682787037,185.9814009,7.4443776,21.962,Lr,p,616827,2001 HL69,2025-05-04T02:19:25.928Z
60799.09583431713,185.9815416,7.4444026,21.969,Lr,p,616827,2001 HL69,2025-05-04T02:18:00.085Z
60799.017955173615,185.9938783,7.4443666,21.911,Li,p,616827,2001 HL69,2025-05-04T00:25:51.327Z
60798.085868125,186.1365281,7.4426301,21.970,Lr,p,616827,2001 HL69,2025-05-03T02:03:39.006Z
60787.15255445602,188.1986571,7.1829528,22.911,Lu,p,616827,2001 HL69,2025-04-22T03:39:40.705Z
60797.02870605324,186.3060903,7.4367489,21.905,Li,p,616827,2001 HL69,2025-05-02T00:41:20.203Z
60797.10465435185,186.2931034,7.4373252,22.334,Lg,p,616827,2001 HL69,2025-05-02T02:30:42.136Z
60798.021321423614,186.1471452,7.4423567,21.717,Li,p,616827,2001 HL69,2025-05-03T00:30:42.171Z
60799.13082550926,185.976001,7.444387,21.860,Lr,p,616827,2001 HL69,2025-05-04T03:08:23.324Z
60795.15200439815,186.6224594,7.4161613,22.305,Lg,p,616827,2001 HL69,2025-04-30T03:38:53.180Z
60797.13250600694,186.2883373,7.4375233,22.329,Lg,p,616827,2001 HL69,2025-05-02T03:10:48.519Z
60797.047738333335,186.3028433,7.436909,21.747,Li,p,616827,2001 HL69,2025-05-02T01:08:44.592Z
60797.06298336806,186.3002366,7.4370254,21.906,Lr,p,616827,2001 HL69,2025-05-02T01:30:41.763Z
60795.07023082176,186.6374521,7.4149753,21.892,Lr,p,616827,2001 HL69,2025-04-30T01:41:07.943Z
60799.156621608796,185.9719531,7.4443681,22.362,Lg,p,616827,2001 HL69,2025-05-04T03:45:32.107Z
60798.09070195602,186.1357191,7.4426484,21.908,Lr,p,616827,2001 HL69,2025-05-03T02:10:36.649Z
60797.02671627315,186.3064486,7.4367484,21.812,Li,p,616827,2001 HL69,2025-05-02T00:38:28.286Z
60798.110846574076,186.1324193,7.4427411,22.291,Lg,p,616827,2001 HL69,2025-05-03T02:39:37.144Z
60798.05442541667,186.1417081,7.4425003,21.939,Lr,p,616827,2001 HL69,2025-05-03T01:18:22.356Z
60797.05811815972,186.3010825,7.4369839,21.990,Lr,p,616827,2001 HL69,2025-05-02T01:23:41.409Z
60798.04319980324,186.143586,7.442488,22.003,Lr,p,616827,2001 HL69,2025-05-03T01:02:12.463Z
60797.10562631945,186.2929409,7.4373282,22.359,Lg,p,616827,2001 HL69,2025-05-02T02:32:06.114Z
60795.03649756945,186.6436305,7.4144574,21.862,Lr,p,616827,2001 HL69,2025-04-30T00:52:33.390Z
60799.038335798614,185.9906627,7.444403,21.923,Li,p,616827,2001 HL69,2025-05-04T00:55:12.213Z
60793.20183417824,186.9742594,7.3809028,22.264,Lg,p,616827,2001 HL69,2025-04-28T04:50:38.473Z
60798.022871215275,186.1468856,7.4423961,21.927,Li,p,616827,2001 HL69,2025-05-03T00:32:56.073Z
60799.01295131945,185.9946506,7.4443684,21.875,Li,p,616827,2001 HL69,2025-05-04T00:18:38.994Z
60799.02946913194,185.9920526,7.4443734,21.669,Li,p,616827,2001 HL69,2025-05-04T00:42:26.133Z
60795.03502011574,186.6439062,7.4144302,21.831,Lr,p,616827,2001 HL69,2025-04-30T00:50:25.738Z
60794.16649584491,186.7975289,7.4001118,21.853,Lr,p,616827,2001 HL69,2025-04-29T03:59:45.241Z
60797.07955863426,186.2974009,7.4371481,21.904,Lr,p,616827,2001 HL69,2025-05-02T01:54:33.866Z
60798.13046226852,186.1291677,7.4427775,22.372,Lg,p,616827,2001 HL69,2025-05-03T03:07:51.940Z
60798.04564802083,186.1431585,7.4424712,21.883,Lr,p,616827,2001 HL69,2025-05-03T01:05:43.989Z
60798.13444300926,186.128517,7.4427961,22.321,Lg,p,616827,2001 HL69,2025-05-03T03:13:35.876Z
60790.12295459491,187.5744713,7.2967395,21.819,Lr,p,616827,2001 HL69,2025-04-25T02:57:03.277Z
60790.18532758102,187.561307,7.2987782,21.667,Li,p,616827,2001 HL69,2025-04-25T04:26:52.303Z
60799.123873923614,185.9771064,7.4443944,21.976,Lr,p,616827,2001 HL69,2025-05-04T02:58:22.707Z
60790.18797388889,187.5607589,7.2988656,21.658,Li,p,616827,2001 HL69,2025-04-25T04:30:40.944Z
60797.03306886574,186.3053583,7.4367904,21.824,Li,p,616827,2001 HL69,2025-05-02T00:47:37.150Z
60797.14403186343,186.2863882,7.4376397,23.396,Lu,p,616827,2001 HL69,2025-05-02T03:27:24.353Z
60798.11813653935,186.1312015,7.4427787,22.139,Lg,p,616827,2001 HL69,2025-05-03T02:50:06.997Z
60797.103219502314,186.2933429,7.4373215,22.427,Lg,p,616827,2001 HL69,2025-05-02T02:28:38.165Z
60797.10167123842,186.293618,7.4373047,22.407,Lg,p,616827,2001 HL69,2025-05-02T02:26:24.395Z
60799.108230150465,185.9795801,7.4443853,21.989,Lr,p,616827,2001 HL69,2025-05-04T02:35:51.085Z
60798.13290077546,186.1287902,7.4428174,22.352,Lg,p,616827,2001 HL69,2025-05-03T03:11:22.627Z
60799.11852740741,185.9779472,7.444403,21.882,Lr,p,616827,2001 HL69,2025-05-04T02:50:40.768Z
60795.14756557871,186.6232665,7.4160973,22.279,Lg,p,616827,2001 HL69,2025-04-30T03:32:29.666Z
60790.18904981481,187.5605153,7.2989012,21.674,Li,p,616827,2001 HL69,2025-04-25T04:32:13.904Z
60797.09538766204,186.2947044,7.4372572,22.406,Lg,p,616827,2001 HL69,2025-05-02T02:17:21.494Z
60798.01446912037,186.1483115,7.4423697,22.011,Li,p,616827,2001 HL69,2025-05-03T00:20:50.132Z
60798.13592515046,186.1282856,7.4427932,22.459,Lg,p,616827,2001 HL69,2025-05-03T03:15:43.933Z
60797.059595,186.3008151,7.4369891,21.966,Lr,p,616827,2001 HL69,2025-05-02T01:25:49.008Z
60798.116208576386,186.1315465,7.4427241,22.287,Lg,p,616827,2001 HL69,2025-05-03T02:47:20.421Z
60798.11475,186.1317694,7.4427379,22.398,Lg,p,616827,2001 HL69,2025-05-03T02:45:14.400Z
60798.01349474537,186.1484229,7.4423471,21.845,Li,p,616827,2001 HL69,2025-05-03T00:19:25.946Z
60797.038514340275,186.3044173,7.4368254,21.893,Li,p,616827,2001 HL69,2025-05-02T00:55:27.639Z
60797.11094181713,186.2920309,7.4373867,22.408,Lg,p,616827,2001 HL69,2025-05-02T02:39:45.373Z
60799.13620995371,185.9751628,7.4443848,21.911,Lr,p,616827,2001 HL69,2025-05-04T03:16:08.540Z
60793.14440119213,186.9854059,7.3796791,22.282,Lg,p,616827,2001 HL69,2025-04-28T03:27:56.263Z
60797.18162466435,186.2800083,7.4377736,22.998,Lu,p,616827,2001 HL69,2025-05-02T04:21:32.371Z
60798.12308971065,186.1303688,7.442788,22.307,Lg,p,616827,2001 HL69,2025-05-03T02:57:14.951Z
60797.041892546295,186.3038499,7.4368616,21.966,Li,p,616827,2001 HL69,2025-05-02T01:00:19.516Z
60799.02801325231,185.9922784,7.4443971,21.834,Li,p,616827,2001 HL69,2025-05-04T00:40:20.345Z
60799.14676681713,185.9734899,7.4443897,22.395,Lg,p,616827,2001 HL69,2025-05-04T03:31:20.653Z
60793.18501511574,186.9775174,7.3805491,21.816,Lr,p,616827,2001 HL69,2025-04-28T04:26:25.306Z
60797.0552353588,186.3015577,7.4369547,21.965,Lr,p,616827,2001 HL69,2025-05-02T01:19:32.335Z
60797.08101274305,186.2971541,7.4371571,21.953,Lr,p,616827,2001 HL69,2025-05-02T01:56:39.501Z
60799.13131795139,185.975922,7.4443843,21.878,Lr,p,616827,2001 HL69,2025-05-04T03:09:05.871Z
60798.01105163195,186.1488324,7.4423339,21.771,Li,p,616827,2001 HL69,2025-05-03T00:15:54.861Z
60799.14579056713,185.9736557,7.4443746,22.359,Lg,p,616827,2001 HL69,2025-05-04T03:29:56.305Z
60793.20585349537,186.9734767,7.3810009,22.165,Lg,p,616827,2001 HL69,2025-04-28T04:56:25.742Z
60798.05889681713,186.140977,7.4425413,21.889,Lr,p,616827,2001 HL69,2025-05-03T01:24:48.685Z
60799.10482482639,185.9801132,7.4443956,21.917,Lr,p,616827,2001 HL69,2025-05-04T02:30:56.865Z
60795.1495446412,186.622906,7.4161361,22.230,Lg,p,616827,2001 HL69,2025-04-30T03:35:20.657Z
60799.15758853009,185.9717882,7.4443715,22.351,Lg,p,616827,2001 HL69,2025-05-04T03:46:55.649Z
60795.03110896991,186.6446184,7.4143701,21.864,Lr,p,616827,2001 HL69,2025-04-30T00:44:47.815Z
60798.068166446756,186.139438,7.4425787,21.873,Lr,p,616827,2001 HL69,2025-05-03T01:38:09.581Z
60797.07224243056,186.2986534,7.4370956,21.897,Lr,p,616827,2001 HL69,2025-05-02T01:44:01.746Z
60799.157111597226,185.9718548,7.4443644,22.302,Lg,p,616827,2001 HL69,2025-05-04T03:46:14.442Z
60798.13143491898,186.1290237,7.4427952,22.337,Lg,p,616827,2001 HL69,2025-05-03T03:09:15.977Z
60798.10890378472,186.132745,7.4427098,22.268,Lg,p,616827,2001 HL69,2025-05-03T02:36:49.287Z
60797.02526957176,186.3066721,7.4367269,21.826,Li,p,616827,2001 HL69,2025-05-02T00:36:23.291Z
60799.12141125,185.9774902,7.4443865,21.997,Lr,p,616827,2001 HL69,2025-05-04T02:54:49.932Z
60797.08344960648,186.2967415,7.4371843,21.916,Lr,p,616827,2001 HL69,2025-05-02T02:00:10.046Z
60798.119673263885,186.1309672,7.4427592,22.365,Lg,p,616827,2001 HL69,2025-05-03T02:52:19.770Z
60798.090219791666,186.1358139,7.4426509,21.898,Lr,p,616827,2001 HL69,2025-05-03T02:09:54.990Z
60798.11918826389,186.1310194,7.4427663,22.332,Lg,p,616827,2001 HL69,2025-05-03T02:51:37.866Z
60798.10407482639,186.1335233,7.4427031,22.360,Lg,p,616827,2001 HL69,2025-05-03T02:29:52.065Z
60799.018439085645,185.993785,7.4443658,21.839,Li,p,616827,2001 HL69,2025-05-04T00:26:33.137Z
60799.1477409838,185.9733283,7.4443801,22.342,Lg,p,616827,2001 HL69,2025-05-04T03:32:44.821Z
60793.18356667824,186.9777884,7.3805246,21.891,Lr,p,616827,2001 HL69,2025-04-28T04:24:20.161Z
